City,Metro,County,State,Population Rank,Average Rental Cost
South Bend,South Bend,Saint Joseph,IN,369,683.41
Arvada,Denver,Jefferson,CO,370,1615.97
Lawton,Lawton,Comanche,OK,371,743.3
Annapolis,Baltimore,Anne Arundel,MD,372,2024.24
Clinton Township,Detroit,Macomb,MI,373,1174.15
Rialto,Riverside,San Bernardino,CA,374,1544.41
Indio,Riverside,Riverside,CA,375,1705.5
Highlands Ranch,Denver,Douglas,CO,376,2152.99
New Bedford,Providence,Bristol,MA,377,1136.64
Federal Way,Seattle,King,WA,378,1615.81
Hillsboro,Portland,Washington,OR,379,1460.57
Sandy,Salt Lake City,Salt Lake,UT,380,1474.56
Champaign,Champaign-Urbana,Champaign,IL,381,1065.77
Bethlehem Township,Allentown,Northampton,PA,382,1677.23
Greeley,Greeley,Weld,CO,383,1278.67
Canton,Detroit,Wayne,MI,384,1563.88
Elgin,Chicago,Kane,IL,385,1504.7
Meridian,Boise City,Ada,ID,386,1189.07
Santa Monica,Los Angeles,Los Angeles,CA,387,3708.35
Kennewick,Kennewick,Benton,WA,388,1298.54
Yakima,Yakima,Yakima,WA,389,1062.72
Muncie,Muncie,Delaware,IN,390,736.2
Valdosta,Valdosta,Lowndes,GA,391,934.41
Plantation,Miami-Fort Lauderdale,Broward,FL,392,1777.23
Lithonia,Atlanta,Dekalb,GA,393,975.93
Kalamazoo,Kalamazoo,Kalamazoo,MI,394,912.88
Cheyenne,Cheyenne,Laramie,WY,395,1261.51
Lynchburg,Lynchburg,Lynchburg City,VA,396,940.47
McDonough,Atlanta,Henry,GA,397,1183.91
Terre Haute,Terre Haute,Vigo,IN,398,731.41
Livermore,San Francisco,Alameda,CA,399,2467.15
Bryan,College Station,Brazos,TX,400,1209.09
Elkhart,Elkhart,Elkhart,IN,401,870.18
San Angelo,San Angelo,Tom Green,TX,402,1089.2
Decatur,Decatur,Macon,IL,403,951.72
Duluth,Duluth,Saint Louis,MN,404,1133.16
Sunrise,Miami-Fort Lauderdale,Broward,FL,405,1508.81
Orem,Provo,Utah,UT,406,1222.14
Anderson,Greenville,Anderson,SC,407,928.24
Miami Beach,Miami-Fort Lauderdale,Miami-Dade,FL,408,2040.66
Fall River,Providence,Bristol,MA,409,1153.96
Concord,Charlotte,Cabarrus,NC,410,1129.81
Flagstaff,Flagstaff,Coconino,AZ,411,1552.31
Allen,Dallas-Fort Worth,Collin,TX,412,1764.58
Franklin,Nashville,Williamson,TN,413,2246.5
Herndon,Washington,Fairfax,VA,414,2327.36
Midlothian,Richmond,Chesterfield,VA,415,1616.85
Toms River,New York,Ocean,NJ,416,1749.66
Trenton,Trenton,Mercer,NJ,417,1288.22
Pearland,Houston,Brazoria,TX,418,1764.64
Bloomington,Minneapolis-St Paul,Hennepin,MN,419,1483.73
Nashua,Manchester,Hillsborough,NH,420,1613.6
Edmond,Oklahoma City,Oklahoma,OK,421,1469.58
Chapel Hill,Durham,Orange,NC,422,1770.78
Williamsburg,Virginia Beach,James City,VA,423,1747.78
Reading,Reading,Berks,PA,424,759.11
Cicero,Chicago,Cook,IL,425,1335.57
Holland,Grand Rapids,Ottawa,MI,426,1108.58
Westland,Detroit,Wayne,MI,427,1014.61
Sioux City,Sioux City,Woodbury,IA,428,863.72
Bowie,Washington,Prince Georges,MD,429,2045.88
Kennesaw,Atlanta,Cobb,GA,430,1308.43
Boulder,Boulder,Boulder,CO,431,2411.86
Clifton,New York,Passaic,NJ,432,1699.96
Norwalk,Stamford,Fairfield,CT,433,2270.89
Citrus Heights,Sacramento,Sacramento,CA,434,1351.93
Buena Park,Los Angeles,Orange,CA,435,2272.41
Town of Poughkeepsie,New York,Dutchess,NY,436,1591.16
